datetime,agency_cd,site_no,datetime,173846_00060_00001,173846_00060_00001_cd,173847_00060_00002,173847_00060_00002_cd,136588_00060_00003,136588_00060_00003_cd
2008-12-19,USGS,8171290,2008-12-19,14.0,A,14.0,A,14.0,A
2008-12-20,USGS,8171290,2008-12-20,14.7,A,14.0,A,14.5,A
2008-12-21,USGS,8171290,2008-12-21,14.7,A,12.7,A,13.5,A
2008-12-22,USGS,8171290,2008-12-22,13.4,A,12.1,A,12.4,A
2008-12-23,USGS,8171290,2008-12-23,13.4,A,12.7,A,13.0,A
2008-12-24,USGS,8171290,2008-12-24,14.0,A,13.4,A,13.5,A
2008-12-25,USGS,8171290,2008-12-25,14.7,A,13.4,A,13.9,A
2008-12-26,USGS,8171290,2008-12-26,14.7,A,13.4,A,14.3,A
2008-12-27,USGS,8171290,2008-12-27,14.7,A,13.4,A,13.8,A
2008-12-28,USGS,8171290,2008-12-28,13.4,A,12.7,A,12.8,A
2008-12-29,USGS,8171290,2008-12-29,13.4,A,12.1,A,12.8,A
2008-12-30,USGS,8171290,2008-12-30,12.7,A,12.1,A,12.3,A
2008-12-31,USGS,8171290,2008-12-31,13.4,A,12.1,A,12.5,A
2009-01-01,USGS,8171290,2009-01-01,13.4,A,12.1,A,12.5,A
2009-01-02,USGS,8171290,2009-01-02,13.4,A,12.7,A,13.0,A
2009-01-03,USGS,8171290,2009-01-03,17.8,A,12.7,A,14.9,A
2009-01-04,USGS,8171290,2009-01-04,16.2,A,12.7,A,14.2,A
2009-01-05,USGS,8171290,2009-01-05,13.4,A,12.7,A,12.7,A
2009-01-06,USGS,8171290,2009-01-06,15.5,A,12.7,A,14.6,A
2009-01-07,USGS,8171290,2009-01-07,15.5,A,14.7,A,15.2,A
2009-01-08,USGS,8171290,2009-01-08,14.7,A,13.4,A,14.3,A
2009-01-09,USGS,8171290,2009-01-09,14.0,A,13.4,A,13.9,A
2009-01-10,USGS,8171290,2009-01-10,14.7,A,12.7,A,13.6,A
2009-01-11,USGS,8171290,2009-01-11,12.7,A,12.1,A,12.4,A
2009-01-12,USGS,8171290,2009-01-12,12.7,A,11.5,A,12.2,A
2009-01-13,USGS,8171290,2009-01-13,12.7,A,11.5,A,11.9,A
2009-01-14,USGS,8171290,2009-01-14,,,,,12.0,A:e
2009-01-15,USGS,8171290,2009-01-15,,,,,12.0,A:e
2009-01-16,USGS,8171290,2009-01-16,,,,,12.0,A:e
