datetime,agency_cd,site_no,datetime,173901_00060_00001,173901_00060_00001_cd,173902_00060_00002,173902_00060_00002_cd,173903_00060_00003,173903_00060_00003_cd
2014-11-19,USGS,8183978,2014-11-19,0.0,A,0.0,A,0.0,A
2014-11-20,USGS,8183978,2014-11-20,0.0,A,0.0,A,0.0,A
2014-11-21,USGS,8183978,2014-11-21,0.0,A,0.0,A,0.0,A
2014-11-22,USGS,8183978,2014-11-22,0.03,A,0.0,A,0.0,A
2014-11-23,USGS,8183978,2014-11-23,0.0,A,0.0,A,0.0,A
2014-11-24,USGS,8183978,2014-11-24,0.0,A,0.0,A,0.0,A
2014-11-25,USGS,8183978,2014-11-25,0.0,A,0.0,A,0.0,A
2014-11-26,USGS,8183978,2014-11-26,0.0,A,0.0,A,0.0,A
2014-11-27,USGS,8183978,2014-11-27,0.0,A,0.0,A,0.0,A
2014-11-28,USGS,8183978,2014-11-28,0.0,A,0.0,A,0.0,A
2014-11-29,USGS,8183978,2014-11-29,0.0,A,0.0,A,0.0,A
2014-11-30,USGS,8183978,2014-11-30,0.0,A,0.0,A,0.0,A
2014-12-01,USGS,8183978,2014-12-01,0.0,A,0.0,A,0.0,A
2014-12-02,USGS,8183978,2014-12-02,0.0,A,0.0,A,0.0,A
2014-12-03,USGS,8183978,2014-12-03,0.0,A,0.0,A,0.0,A
2014-12-04,USGS,8183978,2014-12-04,0.0,A,0.0,A,0.0,A
2014-12-05,USGS,8183978,2014-12-05,0.0,A,0.0,A,0.0,A
2014-12-06,USGS,8183978,2014-12-06,0.0,A,0.0,A,0.0,A
2014-12-07,USGS,8183978,2014-12-07,0.0,A,0.0,A,0.0,A
2014-12-08,USGS,8183978,2014-12-08,0.0,A,0.0,A,0.0,A
2014-12-09,USGS,8183978,2014-12-09,0.0,A,0.0,A,0.0,A
2014-12-10,USGS,8183978,2014-12-10,0.0,A,0.0,A,0.0,A
2014-12-11,USGS,8183978,2014-12-11,0.0,A,0.0,A,0.0,A
2014-12-12,USGS,8183978,2014-12-12,0.0,A,0.0,A,0.0,A
2014-12-13,USGS,8183978,2014-12-13,0.0,A,0.0,A,0.0,A
2014-12-14,USGS,8183978,2014-12-14,0.0,A,0.0,A,0.0,A
2014-12-15,USGS,8183978,2014-12-15,0.0,A,0.0,A,0.0,A
2014-12-16,USGS,8183978,2014-12-16,0.0,A,0.0,A,0.0,A
2014-12-17,USGS,8183978,2014-12-17,0.0,A,0.0,A,0.0,A
2014-12-18,USGS,8183978,2014-12-18,0.0,A,0.0,A,0.0,A
2014-12-19,USGS,8183978,2014-12-19,0.0,A,0.0,A,0.0,A
2014-12-20,USGS,8183978,2014-12-20,0.0,A,0.0,A,0.0,A
2014-12-21,USGS,8183978,2014-12-21,0.0,A,0.0,A,0.0,A
2014-12-22,USGS,8183978,2014-12-22,0.0,A,0.0,A,0.0,A
2014-12-23,USGS,8183978,2014-12-23,0.0,A,0.0,A,0.0,A
2014-12-24,USGS,8183978,2014-12-24,0.0,A,0.0,A,0.0,A
2014-12-25,USGS,8183978,2014-12-25,0.0,A,0.0,A,0.0,A
2014-12-26,USGS,8183978,2014-12-26,0.0,A,0.0,A,0.0,A
2014-12-27,USGS,8183978,2014-12-27,0.0,A,0.0,A,0.0,A
2014-12-28,USGS,8183978,2014-12-28,0.0,A,0.0,A,0.0,A
