datetime,agency_cd,site_no,datetime,178579_00060_00001,178579_00060_00001_cd,178580_00060_00002,178580_00060_00002_cd,136753_00060_00003,136753_00060_00003_cd
2001-04-20,USGS,8179520,2001-04-20,,,,,53.0,A:e
2001-04-21,USGS,8179520,2001-04-21,54.0,A,52.0,A,53.6,A
2001-04-22,USGS,8179520,2001-04-22,55.0,A,53.0,A,53.8,A
2001-04-23,USGS,8179520,2001-04-23,62.0,A,54.0,A,56.3,A
2001-04-24,USGS,8179520,2001-04-24,61.0,A,57.0,A,58.9,A
2001-04-25,USGS,8179520,2001-04-25,62.0,A,60.0,A,61.3,A
2001-04-26,USGS,8179520,2001-04-26,62.0,A,61.0,A,62.0,A
2001-04-27,USGS,8179520,2001-04-27,62.0,A,61.0,A,62.0,A
2001-04-28,USGS,8179520,2001-04-28,63.0,A,62.0,A,62.1,A
2001-04-29,USGS,8179520,2001-04-29,63.0,A,62.0,A,62.3,A
2001-04-30,USGS,8179520,2001-04-30,63.0,A,62.0,A,62.4,A
2001-05-01,USGS,8179520,2001-05-01,63.0,A,62.0,A,62.5,A
2001-05-02,USGS,8179520,2001-05-02,64.0,A,62.0,A,63.0,A
2001-05-03,USGS,8179520,2001-05-03,63.0,A,62.0,A,62.9,A
2001-05-04,USGS,8179520,2001-05-04,80.0,A,63.0,A,65.2,A
2001-05-05,USGS,8179520,2001-05-05,72.0,A,64.0,A,65.4,A
2001-05-06,USGS,8179520,2001-05-06,89.0,A,64.0,A,66.2,A
2001-05-07,USGS,8179520,2001-05-07,86.0,A,66.0,A,68.5,A
2001-05-08,USGS,8179520,2001-05-08,137.0,A,66.0,A,76.7,A
2001-05-09,USGS,8179520,2001-05-09,69.0,A,69.0,A,69.0,A
2001-05-10,USGS,8179520,2001-05-10,69.0,A,68.0,A,68.5,A
2001-05-11,USGS,8179520,2001-05-11,69.0,A,68.0,A,68.2,A
2001-05-12,USGS,8179520,2001-05-12,69.0,A,68.0,A,68.5,A
2001-05-13,USGS,8179520,2001-05-13,69.0,A,69.0,A,69.0,A
2001-05-14,USGS,8179520,2001-05-14,69.0,A,69.0,A,69.0,A
2001-05-15,USGS,8179520,2001-05-15,75.0,A,69.0,A,72.7,A
2001-05-16,USGS,8179520,2001-05-16,90.0,A,74.0,A,80.4,A
2001-05-17,USGS,8179520,2001-05-17,109.0,A,90.0,A,98.1,A
2001-05-18,USGS,8179520,2001-05-18,136.0,A,109.0,A,119.0,A
2001-05-19,USGS,8179520,2001-05-19,162.0,A,136.0,A,145.0,A
2001-05-20,USGS,8179520,2001-05-20,172.0,A,160.0,A,165.0,A
2001-05-21,USGS,8179520,2001-05-21,246.0,A,170.0,A,205.0,A
2001-05-22,USGS,8179520,2001-05-22,219.0,A,181.0,A,195.0,A
2001-05-23,USGS,8179520,2001-05-23,185.0,A,169.0,A,178.0,A
2001-05-24,USGS,8179520,2001-05-24,179.0,A,165.0,A,171.0,A
2001-05-25,USGS,8179520,2001-05-25,183.0,A,163.0,A,171.0,A
2001-05-26,USGS,8179520,2001-05-26,181.0,A,169.0,A,173.0,A
2001-05-27,USGS,8179520,2001-05-27,170.0,A,136.0,A,157.0,A
2001-05-28,USGS,8179520,2001-05-28,141.0,A,129.0,A,135.0,A
2001-05-29,USGS,8179520,2001-05-29,129.0,A,119.0,A,126.0,A
2001-05-30,USGS,8179520,2001-05-30,121.0,A,110.0,A,117.0,A
2001-05-31,USGS,8179520,2001-05-31,125.0,A,111.0,A,116.0,A
2001-06-01,USGS,8179520,2001-06-01,117.0,A,105.0,A,112.0,A
2001-06-02,USGS,8179520,2001-06-02,108.0,A,97.0,A,102.0,A
2001-06-03,USGS,8179520,2001-06-03,97.0,A,86.0,A,92.2,A
2001-06-04,USGS,8179520,2001-06-04,86.0,A,78.0,A,82.9,A
2001-06-05,USGS,8179520,2001-06-05,79.0,A,77.0,A,78.1,A
2001-06-06,USGS,8179520,2001-06-06,77.0,A,74.0,A,74.8,A
2001-06-07,USGS,8179520,2001-06-07,76.0,A,70.0,A,73.0,A
2001-06-08,USGS,8179520,2001-06-08,75.0,A,69.0,A,70.0,A
2001-06-09,USGS,8179520,2001-06-09,75.0,A,67.0,A,69.7,A
2001-06-10,USGS,8179520,2001-06-10,72.0,A,70.0,A,71.1,A
