datetime,agency_cd,site_no,datetime,173930_00060_00001,173930_00060_00001_cd,173931_00060_00002,173931_00060_00002_cd,173932_00060_00003,173932_00060_00003_cd
2012-09-30,USGS,8196300,2012-09-30,0.0,A,0.0,A,0.0,A
2012-10-01,USGS,8196300,2012-10-01,0.0,A,0.0,A,0.0,A
2012-10-02,USGS,8196300,2012-10-02,0.0,A,0.0,A,0.0,A
2012-10-03,USGS,8196300,2012-10-03,0.0,A,0.0,A,0.0,A
2012-10-04,USGS,8196300,2012-10-04,0.0,A,0.0,A,0.0,A
2012-10-05,USGS,8196300,2012-10-05,0.0,A,0.0,A,0.0,A
2012-10-06,USGS,8196300,2012-10-06,0.0,A,0.0,A,0.0,A
2012-10-07,USGS,8196300,2012-10-07,0.0,A,0.0,A,0.0,A
2012-10-08,USGS,8196300,2012-10-08,0.0,A,0.0,A,0.0,A
2012-10-09,USGS,8196300,2012-10-09,0.0,A,0.0,A,0.0,A
2012-10-10,USGS,8196300,2012-10-10,0.0,A,0.0,A,0.0,A
2012-10-11,USGS,8196300,2012-10-11,0.0,A,0.0,A,0.0,A
2012-10-12,USGS,8196300,2012-10-12,0.0,A,0.0,A,0.0,A
2012-10-13,USGS,8196300,2012-10-13,0.0,A,0.0,A,0.0,A
2012-10-14,USGS,8196300,2012-10-14,0.0,A,0.0,A,0.0,A
2012-10-15,USGS,8196300,2012-10-15,0.0,A,0.0,A,0.0,A
2012-10-16,USGS,8196300,2012-10-16,0.0,A,0.0,A,0.0,A
2012-10-17,USGS,8196300,2012-10-17,0.0,A,0.0,A,0.0,A
2012-10-18,USGS,8196300,2012-10-18,0.0,A,0.0,A,0.0,A
2012-10-19,USGS,8196300,2012-10-19,0.0,A,0.0,A,0.0,A
2012-10-20,USGS,8196300,2012-10-20,0.0,A,0.0,A,0.0,A
2012-10-21,USGS,8196300,2012-10-21,0.0,A,0.0,A,0.0,A
2012-10-22,USGS,8196300,2012-10-22,0.0,A,0.0,A,0.0,A
2012-10-23,USGS,8196300,2012-10-23,0.0,A,0.0,A,0.0,A
2012-10-24,USGS,8196300,2012-10-24,0.0,A,0.0,A,0.0,A
2012-10-25,USGS,8196300,2012-10-25,0.0,A,0.0,A,0.0,A
2012-10-26,USGS,8196300,2012-10-26,0.0,A,0.0,A,0.0,A
2012-10-27,USGS,8196300,2012-10-27,0.0,A,0.0,A,0.0,A
2012-10-28,USGS,8196300,2012-10-28,0.0,A,0.0,A,0.0,A
2012-10-29,USGS,8196300,2012-10-29,0.0,A,0.0,A,0.0,A
2012-10-30,USGS,8196300,2012-10-30,0.0,A,0.0,A,0.0,A
2012-10-31,USGS,8196300,2012-10-31,0.0,A,0.0,A,0.0,A
2012-11-01,USGS,8196300,2012-11-01,0.0,A,0.0,A,0.0,A
2012-11-02,USGS,8196300,2012-11-02,0.0,A,0.0,A,0.0,A
2012-11-03,USGS,8196300,2012-11-03,0.0,A,0.0,A,0.0,A
2012-11-04,USGS,8196300,2012-11-04,0.0,A,0.0,A,0.0,A
2012-11-05,USGS,8196300,2012-11-05,0.0,A,0.0,A,0.0,A
2012-11-06,USGS,8196300,2012-11-06,0.0,A,0.0,A,0.0,A
