datetime,datetime_x,datetime_x,Comal River,Unnamed: 0_x,datetime_y,Comal Rv (nc),Unnamed: 0_y,datetime.1,Comal Rv (oc),datetime_y,MaxLevel
2014-05-30,2014-05-30 00:00:00,2014-05-30 00:00:00,148.0,2492,2014-05-30 00:00:00,99.7,80008,2014-05-30 00:00:00,60.0,2014-05-30,830.813
2014-05-31,2014-05-31 00:00:00,2014-05-31 00:00:00,148.0,2588,2014-05-31 00:00:00,99.7,80104,2014-05-31 00:00:00,60.7,2014-05-31,830.813
2014-06-01,2014-06-01 00:00:00,2014-06-01 00:00:00,151.0,2684,2014-06-01 00:00:00,102.0,80200,2014-06-01 00:00:00,60.0,2014-06-01,830.8433635
2014-06-02,2014-06-02 00:00:00,2014-06-02 00:00:00,151.0,2780,2014-06-02 00:00:00,106.0,80296,2014-06-02 00:00:00,58.8,2014-06-02,830.834557
2014-06-03,2014-06-03 00:00:00,2014-06-03 00:00:00,148.0,2876,2014-06-03 00:00:00,102.0,80391,2014-06-03 00:00:00,63.1,2014-06-03,830.7787825
2014-06-04,2014-06-04 00:00:00,2014-06-04 00:00:00,151.0,2972,2014-06-04 00:00:00,99.7,80484,2014-06-04 00:00:00,55.7,2014-06-04,830.5791684999998
2014-06-05,2014-06-05 00:00:00,2014-06-05 00:00:00,151.0,3068,2014-06-05 00:00:00,97.7,80580,2014-06-05 00:00:00,60.0,2014-06-05,830.337479
2014-06-06,2014-06-06 00:00:00,2014-06-06 00:00:00,148.0,3164,2014-06-06 00:00:00,95.6,80676,2014-06-06 00:00:00,58.8,2014-06-06,830.1681985
2014-06-07,2014-06-07 00:00:00,2014-06-07 00:00:00,148.0,3260,2014-06-07 00:00:00,93.6,80772,2014-06-07 00:00:00,56.9,2014-06-07,829.9627135
2014-06-08,2014-06-08 00:00:00,2014-06-08 00:00:00,151.0,3356,2014-06-08 00:00:00,93.6,80868,2014-06-08 00:00:00,56.9,2014-06-08,829.773863
2014-06-09,2014-06-09 00:00:00,2014-06-09 00:00:00,151.0,3452,2014-06-09 00:00:00,97.7,80964,2014-06-09 00:00:00,56.3,2014-06-09,829.6867765
2014-06-10,2014-06-10 00:00:00,2014-06-10 00:00:00,151.0,3548,2014-06-10 00:00:00,120.0,81060,2014-06-10 00:00:00,41.2,2014-06-10,829.5771844999998
2014-06-11,2014-06-11 00:00:00,2014-06-11 00:00:00,151.0,3644,2014-06-11 00:00:00,124.0,81156,2014-06-11 00:00:00,41.2,2014-06-11,829.388334
2014-06-12,2014-06-12 00:00:00,2014-06-12 00:00:00,156.0,3740,2014-06-12 00:00:00,122.0,81252,2014-06-12 00:00:00,41.8,2014-06-12,829.204376
2014-06-13,2014-06-13 00:00:00,2014-06-13 00:00:00,156.0,3836,2014-06-13 00:00:00,126.0,81348,2014-06-13 00:00:00,43.1,2014-06-13,829.1583865
2014-06-14,2014-06-14 00:00:00,2014-06-14 00:00:00,151.0,3932,2014-06-14 00:00:00,89.6,81444,2014-06-14 00:00:00,56.3,2014-06-14,829.2758065
2014-06-15,2014-06-15 00:00:00,2014-06-15 00:00:00,156.0,4028,2014-06-15 00:00:00,91.6,81540,2014-06-15 00:00:00,55.7,2014-06-15,829.337452
